#,AI name,reference link,explanation summary,free account to use
1,Claude Sonnet 5,https://platform.claude.com/docs/en/about-claude/pricing,"Best default writer for Japanese WordPress copy. Natural marketing Japanese, follows hearing facts well, enterprise SLA. Recommended production writer for BBS-CMS.",No — paid API (Claude.ai chat has a free plan; production needs paid API)
2,Claude Sonnet 4.6,https://platform.claude.com/docs/en/about-claude/pricing,"Strong previous-generation writer. Same role as Sonnet 5. Use only if you must keep an older API ID. Prefer Sonnet 5 for new work.",No — paid API
3,Claude Opus 4.8 / Opus 5,https://platform.claude.com/docs/en/about-claude/pricing,"Highest Japanese quality for VIP shop homepages. Use on 1 important page only — not every page. Too expensive as the daily writer.",No — paid API
4,Claude Haiku 4.5,https://platform.claude.com/docs/en/about-claude/pricing,"Fast cheap verifier. Not a main writer. Checks facts / forbidden words as short JSON before publish. Required in every production stack.",No — paid API
5,GPT-5.6 Terra,https://developers.openai.com/api/docs/pricing,"Best OpenAI balance for Japanese homepage drafts. Close to Sonnet quality at lower cost. Good default if the client prefers OpenAI.",No — paid API (ChatGPT free exists; WordPress production needs paid API)
6,GPT-5.6 Sol,https://developers.openai.com/api/docs/pricing,"OpenAI top-tier writer. Use only if quality must beat Terra. Higher cost. Not needed for most salon/shop pages.",No — paid API
7,GPT-5.6 Luna,https://developers.openai.com/api/docs/pricing,"Cheapest OpenAI writer for high volume. Japanese is weaker than Terra/Sonnet. Must pair with Haiku verify + Ground Filter.",No — paid API
8,Gemini 2.5 Pro,https://ai.google.dev/gemini-api/docs/pricing,"Best Google writer for long hearing CSVs (many columns). Strong Japanese, large context. Use when InfoBiz sheets are very wide.",Yes for testing (Google AI Studio free tier) — production must use paid quota
9,Gemini 2.5 Flash,https://ai.google.dev/gemini-api/docs/pricing,"Lowest paid cost per page. Fast. Japanese is good but not as natural as Sonnet. Best high-volume stack if verifier is always on.",Yes for testing (free tier / rate-limited) — production must use paid quota
10,DeepSeek Chat (official API),https://api-docs.deepseek.com/quick_start/pricing,"Cheap official API writer. Japanese is usable with grounding. Different product from NVIDIA NIM DeepSeek. Only if prepaid balance is funded.",No — prepaid paid API (not the free NIM)
11,GLM-4.7 (Z.AI paid),https://docs.z.ai/guides/llm/glm-4.7,"Paid GLM writer. Stronger than Flash. Useful if staying in Z.AI family. Not the first pick vs Sonnet/Terra for Japanese marketing tone.",No — paid Z.AI API
12,GLM-4.5-Flash,https://docs.z.ai/guides/llm/glm-4.5,"Our PoC stream writer. Local 8-fact score 6/8 (75%) in 29.4s. $0. Hits HTTP 429. Demo only — do not ship as production writer.",Yes — Z.AI free Flash (rate-limited, no SLA)
13,GLM-4.7-Flash,https://docs.z.ai/guides/llm/glm-4.7,"Our PoC fast writer. Local 8-fact score 5/8 (63%) in 15.0s. $0. Fastest local writer. Demo only.",Yes — Z.AI free Flash (rate-limited, no SLA)
14,GLM-5.2 (NVIDIA NIM),https://build.nvidia.com/z-ai/glm-5.2,"PoC quality-writer slot. Headline Japanese is good. Full homepage 8-fact test blocked (429/disconnect). Estimated analog 6/8 from GLM-4.5. Demo only.",Yes — NVIDIA NIM free (quota / 429; no production SLA)
15,Nemotron 3 Super 120B,https://build.nvidia.com/nvidia/nemotron-3-super-120b-a12b,"Best local verifier. 7/8 (88%) in 7.0s. 0 invented facts in PoC. Maps to Haiku in production. Do not use as main Japanese writer.",Yes — NVIDIA NIM free (quota; no SLA)
16,Nemotron Super 49B,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1,"Second local verifier. 7/8 (88%) but slow (~49s). Missed phone in PoC. Backup check only.",Yes — NVIDIA NIM free (quota; no SLA)
17,DeepSeek V4 Flash (NVIDIA NIM),https://build.nvidia.com/deepseek-ai/deepseek-v4-flash-0731,"Do not use. Headline OK; full WordPress page timed out 150–180s. Not for Japanese homepage generation.",Yes — NVIDIA NIM free (unusable latency)
18,Amazon Nova Pro (Bedrock),https://aws.amazon.com/nova/,"AWS production option if the client already uses AWS. Japanese is good with grounding. Useful for JP data-residency / Bedrock procurement.",No — paid AWS (Bedrock). Free AWS account is not enough without billing
19,Qwen (Alibaba Cloud Model Studio),https://www.alibabacloud.com/help/en/model-studio/models,"Strong multilingual including Japanese. Good backup writer if Google/OpenAI/Anthropic are blocked. Confirm JP tone in bake-off before go-live.",No — paid Alibaba Cloud (some trial credit; not a lasting free writer)
20,Mistral Large,https://mistral.ai/products/la-plateforme,"EU option. Japanese is acceptable but usually weaker than Sonnet/Gemini for salon marketing copy. Use only for EU data-residency needs.",No — paid Mistral API (Le Chat free is chat-only; production needs paid API)
21,Gemini 3.6 Flash,https://ai.google.dev/gemini-api/docs/pricing,"Google Flash line — newer than 2.5 Flash. Fast and lower cost than Pro. Volume writer for Japanese homepage drafts.",Yes for testing (AI Studio free tier) — production must use paid quota
22,Kimi K2.5 (Moonshot),https://platform.kimi.ai/docs/pricing/chat-k25.md,"Moonshot writer. Handles Japanese homepage copy. Low API cost ($0.60 in / $3.00 out). Alternative to Gemini Flash for volume pages.",No — paid Moonshot API (trial credit may exist; not free at scale)
23,MiniMax M2.5,https://platform.minimax.io/docs/guides/pricing-paygo,"MiniMax writer. Japanese-capable volume model. Lowest API cost ($0.30 in / $1.20 out). Use with Ground Filter + verifier.",No — paid MiniMax API (pay-as-you-go; Token Plan subscription optional)
