BBS-CMS AI モデル比較シート（日本語原稿生成） / Model Comparison for Japanese Copy Generation,,,,,,,,,,,,,
更新日 / Updated,2026-08-19,,,,,,,,,,,,
プロジェクト / Project,BBS-CMS AI WordPress PoC,,,,,,,,,,,,
評価条件 / Test condition,同一ヒアリングシート（緑の間リラクゼーション）・同一プロンプトで比較,,,,,,,,,,,,
,,,,,,,,,,,,,
■ エグゼクティブサマリー / Executive Summary,,,,,,,,,,,,,
項目 / Item,内容 / Detail,,,,,,,,,,,,
無料構成（本番デモ） / Free production stack,GLM-4.5-Flash（高速表示）＋ GLM-5.2（品質）＋ 3モデル並列検証 ＋ 幻覚除去フィルター,,,,,,,,,,,,
無料の月額コスト / Monthly cost (free tier),$0（Z.AI Flash + NVIDIA NIM 無料枠）,,,,,,,,,,,,
有料の目安（1ページ原稿） / Paid est. per page,"Sonnet 約$0.02〜0.03 / Opus 約$0.04 / Gemini Pro 約$0.02",,,,,,,,,,,,
幻覚対策 / Anti-hallucination,ヒアリングシート以外の情報禁止・価格/電話/駅名の自動除去・要ヒアリング置換,,,,,,,,,,,,
実測データ出典 / Measured data source,client_benchmark_results.json（再テスト 2026-08-19）,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 無料モデル TOP 5（日本語原稿向け） / FREE Models TOP 5,,,,,,,,,,,,,
順位,モデル名,提供元,API モデル ID,料金（入力/出力）,速度（当社実測）,日本語品質,幻覚リスク,BBS CMSでの用途,公式リンク,実測状況,推奨度（5段階）,備考
1,GLM-5.2,NVIDIA NIM（無料）,z-ai/glm-5.2,$0 / $0,初回応答 ~1.3秒 / 完了 ~1.5秒（短い見出し）,★★★★★ 高,低（要：グラウンディング）,品質重視の執筆（Quality Writer）,https://build.nvidia.com/z-ai/glm-5.2,実測済み,5,本番スタックの品質枠。6秒以内に完了すれば下書き差し替え
2,GLM-4.5-Flash,Z.AI（無料）,glm-4.5-flash,$0 / $0,全文原稿 ~32.4秒（再テスト）,★★★★★ 高,低（要：グラウンディング）,UI高速表示・ストリーム執筆,https://docs.z.ai/guides/llm/glm-4.5,再テスト済み,5,本番スタックのストリーム枠。事実一致 8/8（100%）
3,GLM-4.7-Flash,Z.AI（無料）,glm-4.7-flash,$0 / $0,全文原稿 ~15秒,★★★★☆ 高,低（要：グラウンディング）,執筆＋並列検証（Verifier）,https://docs.z.ai/guides/llm/glm-4.7,実測済み,5,PoC必須モデル。事実一致 5/8。検証役にも使用
4,Nemotron Super 49B,NVIDIA NIM（無料）,nvidia/llama-3.3-nemotron-super-49b-v1,$0 / $0,初回応答 ~0.7秒 / 完了 ~1.7秒（短い見出し）,★★★★☆ 高（検証向け）,低（Issue JSONのみ）,高速並列検証,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1,実測済み,4,全文書き直しではなく問題点JSONのみ返す設計
5,Nemotron 3 Super 120B,NVIDIA NIM（無料）,nvidia/nemotron-3-super-120b-a12b,$0 / $0,検証SLA 10秒以内（スタック設定）,★★★★★ 高（検証向け）,低（Issue JSONのみ）,強力な並列検証,https://build.nvidia.com/nvidia/nemotron-3-super-120b-a12b,本番利用中,4,49Bより強いクロスチェック。別系統モデル
,,,,,,,,,,,,,
■ 有料モデル TOP 5（日本語原稿向け） / PAID Models TOP 5,,,,,,,,,,,,,
順位,モデル名,提供元,API モデル ID,料金（入力/出力 100万トークン）,速度（当社実測）,日本語品質,幻覚リスク,BBS CMSでの用途,公式リンク,実測状況,推奨度（5段階）,備考
1,Claude Sonnet 4.6 / Sonnet 5,Anthropic,claude-sonnet-4-6 / claude-sonnet-5,Sonnet 4.6: $3/$15 / Sonnet 5: 要確認（紹介 $2/$10）,未実測（当社PoC）,★★★★★ 最高クラス,低〜中（要：グラウンディング）,有料メイン執筆（品質/コスパ最良）,https://platform.claude.com/docs/en/about-claude/pricing,未実測,5,日本語マーケ文の自然さ・丁寧さで業界標準
2,Claude Opus 4.5 / 4.8,Anthropic,claude-opus-4-5 / claude-opus-4-8,$5 / $25,未実測（当社PoC）,★★★★★ 最高,低,最終校正・重要案件のリライト,https://platform.claude.com/docs/en/about-claude/pricing,未実測,4,精度最優先。コストはSonnetの約1.7倍
3,GPT-5.6 Terra,OpenAI,gpt-5.6-terra,$2 / $12,未実測（当社PoC）,★★★★☆ 高,中（要：グラウンディング）,有料代替執筆（バランス型）,https://developers.openai.com/api/docs/pricing,未実測,4,フラッグシップより安く高品質
4,Gemini 2.5 Pro,Google AI,gemini-2.5-pro,$1.25/$10（≤200k）,未実測（当社PoC）,★★★★☆ 高,中,長文原稿・多段落ページ,https://ai.google.dev/gemini-api/docs/pricing,未実測,4,長文に強い。200k超は単価上昇
5,Gemini 2.5 Flash（有料）,Google AI,gemini-2.5-flash,$0.30 / $2.50,未実測（当社PoC）,★★★☆☆ 中〜高,中,大量生成・コスト重視の有料枠,https://ai.google.dev/gemini-api/docs/pricing,未実測,3,有料でも低コスト。速度重視案件向け
,,,,,,,,,,,,,
■ 本番デモで使用中の AI 構成 / Current Live Demo Architecture,,,,,,,,,,,,,
役割 / Role,モデル,提供元,コスト,タイムアウト/SLA,目的,,,,,,,,
